id	off	dup	jp	en	kr
MSG:0:15	00038A		9512892c1088f8edf45ded880a01fb8589e9c084c0c1d2e09e0aacbc80bd97109815921b999d0abc821983a89500	The main\nthing is,\nthere is\nprobably{D}\ntreasure\ninside that\ndungeon...	요컨대,저 던전\n안에는 레어 아이템이\n잔뜩 있을지도 모른다\n이거지
MSG:0:16	0003B8		1e99a4bd2cc4e98901c0911e12840a83199a9c01f81b82179815961a0d0a04040b040089f8edf45ded850a019f978211178885021e02408401e6010c0a9c01dc139a950d0a1e99a4bdb78700	Anyway,\nwhile I\nfind us a{D}\nplace to\nstay,you\nshould{D}\nprepare to\nexplore,\n<04>{B}<00>!	그럼,난 살 만한 곳을\n찾아볼 테니까{D}\n<04>{B}<00>,넌 던전에\n내려갈 준비를 해 둬{D}\n그럼 나중에 봐
MSG:0:17	000404		93b70a1196bc1bbd1100	Hello,\nthere!	여어\n어서 와
MSG:0:18	00040E		026e027c01768c9512191e0a84859c026e027c1b8e1bbf1200	Welcome\nto my{D}\nForge.\nWant to\nfuse?	합성소에 잘 왔어\n뭘 합성할까?
MSG:0:19	000427		018fa8873f0d0a1abc16881ca2170a0265025b84e23bf0e7880a02a20282bc82888900	You\nfriends\nwith{D}\nthe hypermoogle\nfrom{D}\nbefore?	너구나?{D}\n아까 그 엄청\n활기찬 모그리의\n친구라는 게
MSG:0:20	00044A		0265025b84e23bf0e784960a01ef01fe8802528c019ebc1f950d0a102c1e121e120d0a1e881280022e9bbc1f0a01c802159c1c9815960d0a1e888316850a0241821799958400	That\nenergetic{D}\nmoogle\nwent to{D}\nsee the\nmayor.{D}\nMy shop\nopens soon{D}so please\ncome by{D}\nthen!	활기찬 모그리라면\n촌장님 댁에 갔어{D}\n아,맞다 맞다{D}\n조만간 색다른\n장사를 시작할 테니까{D}\n그때\n와 줘
MSG:0:21	000490		01ef01fe88025215113f0d0a5fc78819880252881ca00a01a5880252a8950d0a1e19880404db2627c704001a9d9e0a198801ef8801ef01fe1a00	The mayor?{D}\nGo left\nfrom here!{D}\nThe villagemayor,{D}\n<04>Fawkes<00>\nis there.	촌장님 댁 말이야?{D}\n우리 집 바로\n왼쪽 집이야{D}\n거기 <04>포크<00> 씨가\n이 마을 촌장이지
MSG:0:22	0004CA		8ea81988025902549e0a020a1584119da800	My\nmachine{D}\nis not\nrunning.	아직 이 기계가\n안 움직여
MSG:0:23	0004DC		1988025902541ca0850acafe821b8e129da80d0a8485151111c0c1d2e09e0a84111584b700	My machine\nis rusty.{D}\nIf there\nwas an{D}\nitem to\nhelp...	이 기계는 금방\n녹이 슬어 버려{D}\n뭔가 좋은 아이템\n없으려나
MSG:0:24	000501		101010102c100a1e1e2c1e88c53bfc890a84842c849da8113f00	Ahhhh,\nthat!{D}\nThat\ncard! Whatis that?	아아아아,아\n그그,그 카드는\n뭐,뭐야?
MSG:0:25	00051B		024c12950a1999a4bd841100	Not\nthis.	아니야\n이게 아니야
MSG:0:26	000527		1414210a1999892100	Ah,\nthis!	오오!\n이건!
MSG:0:27	000530		93bcb2971e12a80a1999a82100	This\nwill{D}\ndo it!	역시 그렇군\n이거야!
MSG:0:28	00053D		018f210a1ca2119519992100	You!\nAmazing!	너!\n이거 굉장해!
MSG:0:29	000549		10bc210af2e1ed00	Ah!	앗!\n미안
MSG:0:30	000551		c53bfc2c15bc82850a0153bc80bdbc1f9500	Sorry!{D}\nI ended\nup{D}\nusing thecard.	카드,멋대로\n써 버렸어
MSG:0:31	000563		ab922c025902549e020a111f15960a03401b821799958400	But now,\nit runs!{D}\nForgive\nme!	그래도 기계가 움직였으니\n용서해 줘
MSG:0:32	00057B		1e88159b97850a31017da818ca3bfecc1c98159600	As an\napology{D}\nuse it\nonce,free.	그 대신\n1번은 공짜로 해 줄게
MSG:0:33	000590		102c19880259025488031a012a9c0a1b828415bc1f958400	Ah,I\nnever{D}\nexplained\nit...	아,이 기계 설명을\n안 했지
MSG:0:34	0005A8		1e122c198802590254191e9e0ac7eb83c7eb9c01a4a6820a02b51b11c7eb851c9802590254a800	This\nmachine can\nfuse{D}\ntogether\ntwo of\nyour tools.	그래,이 기계야말로\n도구와 도구를 섞어서\n새 도구로 만드는 기계야
MSG:0:35	0005CF		133f0a95179b159684113f00	Eh?\nTell you{D}\nmore?	응?\n잘 모르겠다고?
MSG:0:36	0005DB		133c832c0339035f8502661283a88400	How to say...	음~ 간단히 말하자면
MSG:0:37	0005EB		1e88018f8801b3bc821198d1e10a1e122cd1e19c328111991f960a02b51b11d1e18501de8e99022e9b9800	Those\nTalons you\nhold. Put{D}\ntwo of\nthem in to\ncreate a{D}\nnew one.	네가 가진 그 발톱\n그래,발톱을 2개 넣으면\n새 발톱으로 다시 태어나지
MSG:0:38	000616		1e88018f8801b3bc821198c7e60a1e122cc7e69c328111991f960a02b51b11c7e68501de8e99022e9b9800	Those\nSaddles you\nhold. Put{D}\ntwo of\nthem in to\ncreate a{D}\nnew one.	네가 가진 그 안장\n그래,안장을 2개 넣으면\n새 안장으로 다시 태어나지
MSG:0:39	000641		01e6010cab169892889c328111991f960a02b51b11e2d88501de8e99022e9b989da800	Put two\nequippable{D}\nitems in to\nmake a new\none.	장비품을 2개 넣으면\n새 물건으로 다시 태어나지
MSG:0:40	000664		3d3dd1e13f0a018f2c1e88d1e189ac19ab0a01ba850210991f9da83f00	...\nTalons?\nWhere did{D}\nyou find\nthose\nTalons?	…발톱?\n너,그 발톱은 어디서\n손에 넣은 거야?
MSG:0:41	000681		3d3dc7e63f0a018f2c1e88c7e689ac19ab0a01ba850210991f9da83f00	...\nSaddle?\nWhere did{D}\nyou find\nthose\nTalons?	…안장?\n너,그 안장은 어디서\n손에 넣은 거야?
MSG:0:42	00069E		1e121113ad2c018f0a1e99892c849da8113f0aac19ab01ba850210991f9da83f00	Speaking\nof which\nwhat is{D}\nthat? Where\nis it\nfrom?	그러고 보니,너\n그건 뭐야?\n어디서 손에 넣었어?
MSG:0:43	0006BF		1e9989dadfd13f00	Secret?	그건 비밀?
MSG:0:44	0006C7		025b858498a4bd8411150a025f138217999500	Curious!\nTell me!	궁금하잖아\n알려 줘
MSG:0:45	0006DA		f8e13f00	No?	안 돼?
MSG:0:46	0006DE		123c9d0a025b858498a73c00	Hm...{D}\nHow\nodd.	으음~\n궁금하다~
MSG:0:47	0006EA		849da8bc823f0af8edf45deda8bc823f00	What?\nA dungeon?	뭐라고?\n던전이라고?
MSG:0:48	0006FB		123c9d0a0404c5dfe67b7b04001a9d92027b0364a818ac0af8edf45ded92025b85849884b700	I worry for\n<04>Camillas Dad<00>\nbut also{D}\nthe dungeon\n...	으음~\n<04>카미라 아빠<00>도 걱정이지만\n던전도 궁금하네
MSG:0:49	000721		31017dca3bfecc1c98bc820a036f035ba8bc1f8700	You were\npromised{D}\none free\ntry.	1번 공짜로 해 주기로\n약속했었지
MSG:0:50	000736		1988070081ab111115113f0f0c00	{7:00}	이거 {7:00}개면 될까?¶
MSG:0:51	000744		0700efe80a021e0240a818ac111115843f0f0f0c00	{7:00}	{7:00}길\n필요한데 괜찮겠어?¶
MSG:0:52	000759		01a802c92c8e1001fd01ae9e024a119da80a1088c53bfc88019a1601289e0a841784bc82161f8815843f00	Lately it\nhas not\nworked.{D}\nPerhaps the\nCard has\nworn off?	요즘 또 상태가 안 좋아\n그 카드의 효과가\n다 떨어졌나?
MSG:0:53	000784		1ab72cac9dac9d0241821799950a92bc8314015f9c02e691820d0a0404cad5c004009c19198c01979dab0a11bc1bbf850369961c9da800	You keep\ncoming{D}\nback! After\nsaving more{D}\nmoney,I\nwill ask{D}\n<04>Sania<00> to\nlive here.	자,계속 찾아와 줘\n돈을 더 모아서{D}\n<04>사니아<00>를 여기로 불러\n함께 살 거야
MSG:0:54	0007BB		93bc832c0404cad5c004009e02418217991f950a19991596922c1988140287ab0a026e027c1b8217999500	<04>Sania<00> is\nfinally here!\nKeep fusing{D}\nhere from\nnow on!	드디어 <04>사니아<00>가 와 줬어\n앞으로도 이 가게에서\n합성해 줘
MSG:0:55	0007E6		89a4918e1b820a0404cad5c004008311118e1c00	Hello!{D}\nI am\n<04>Sania<00>.	처음 뵙겠습니다\n<04>사니아<00>라고 해요
MSG:0:56	0007FA		1181920404e6ccc704009e0a141d9b8584bc828e1c00	<04>Rask<00> is\nalways{D}\nhelping\nme.	늘 <04>라스크<00>가\n신세 지고 있어요
MSG:0:57	000810		9b1f1b929e9dad978e1c15960a10841f922c9e9dadbc8217a81a118700	I am doing\nmy best,so{D}\nyou do the\nsame!	저도 열심히 할 테니\n당신도 힘내세요
MSG:0:58	00082D		ac121c983f0a328188026e027c15113f0a1e9983922c338115113f0c00	So,want\nto fuse 2?\nOr 3?¶	어떻게 할래?\n2개 합성?\n아니면 3개?¶
MSG:0:59	00084A		3281880a3381880a939182141700	2\n3\nQuit	2개\n3개\n그만둔다
MSG:0:60	000858		14933f0a1e88c53bfc89849da83f0a80bfbc83015c1d8217999500	Oh? What\nis that\ncard?{D}\nCould I\nsee?	어라?\n그 카드는 뭐야?\n잠깐 보여 줘
MSG:0:61	000873		192c1999892100	What?	이,이건!
MSG:0:62	00087A		10210ff2e1ed0a8e1f93bc1f9500	Sorry!\nI did{D}\nit\nagain!	앗!미안\n또 저질렀어
MSG:0:63	000888		19999c10a19815960a03401b8217999500	Please\nforgive{D}\nme.\nHere.	이걸 줄 테니까\n용서해 줘
MSG:0:64	000899		81110154bc1f9da818ac0a1faf9d015313988301af1200	This was\nmade.{D}\nYou can\nuse it.	그냥 만들어 본 건데\n아마 쓸 만할 거야
MSG:0:65	0008B0		1faf9dc0c1d2e09c31810a01fa035788ac19158c010d9dab1799980d0a02a60202ab892c018f8802528c0a036dbc8217989500	This item\ncan return{D}\nan item to\nyour home.	아마 아이템을 1개\n지상 어딘가로 옮겨 줄 거야{D}\n예정대로라면 너희 집으로\n돌아올 거야
MSG:0:66	0008E3		ac121b1f3f0a8e1fd2e97f5f27c7cc9e119888153f00	What is\nit? Another{D}\nTeleport Box?	무슨 일이야?\n또 텔레포 박스가 필요해?
MSG:0:67	0008F9		89112c1999ab111100	Yes,\nhello.	자,이거면 됐어
MSG:0:68	000902		01b7892c025902549c0a7beb3bc0277d1b1f9da800	I powered\nthe{D}\nmachine.	실은,기계를\n파워업했어
MSG:0:69	000917		026e027c1c988316852ccfd79301b79c0a11bc1bbf8501a4a69819839eab16989da800	When fusing\nyou can also{D}\nadd a seed or\nnut.	합성할 때 씨앗이나 열매를\n같이 섞을 수 있게 됐어
MSG:0:70	00093A		0404c2c1f504009e0adaedd39c17991f9da800	<04>Wiz<00> gave\na hint.	<04>위즈<00>가\n힌트를 줬거든
MSG:0:71	00094D		026e027c1c9883168511bc1bbf8502109998830ad1e193c7e6882c0211011d9c026e01f3ab16980acfd79e1098961b1100	When fusing\nthere is a\nseed to{D}\ncombine abilitiesof Talons and\nSaddles.	합성할 때 같이 넣으면\n발톱이나 안장의 능력을\n합칠 수 있는 씨앗이\n있다나 봐
MSG:0:72	00097E		92bc83920211011d8932811b150a026e027cab16841118ac8400	At most\nup to 2{D}\nabilities\ncan fuse.	다만 능력은 2개까지만\n합성할 수 있지만
MSG:0:73	000998		015c81181f888496849dab920a1f911b828f989da88400	If you\nfind it,{D}\ntry it\nwith many{D}\nthings.	찾으면 뭐든지\n시험해 보라고
MSG:0:74	0009AF		01b78992121ca00252035c9e0a0280131e12848800	Seems my\nfamily{D}\nwill\ngrow soon.	실은 곧 가족이\n늘 것 같아요
MSG:0:75	0009C4		1bad9617af97870a01ae0341bc821ca08501f616178498889500	The children\nwill soon be{D}\nall grown\nup.	오랜만이에요\n아이들은 금방 자라네요
MSG:0:76	0009DE		0404c5c6c00400210d0a19bc808c0241820aa210111a811b841a1100	<04>Kakia<00>!{D}\nCome\nintroduce{D}\nyourself!	<04>카키아<00>!{D}\n이리 와서\n인사드리렴
MSG:0:77	0009FA		192c199d85808900	H...{D}\nhello.	아,안녕하세요
MSG:0:78	000A02		b0ba3c00	...	메롱~
MSG:0:79	000A06		1996210a0404c5c6c004008e80841a112100	Hey!{D}\n<04>Kakia<00>,\nwait!	요 녀석!\n<04>카키아<00>,거기 서!
MSG:0:80	000A18		923c210aa8998503511f88151b9600	Hmph!\nHe takes\nafter...	정말~!\n누굴 닮았담
MSG:0:81	000A27		c4e9153d3d00	Me...	나인가…
MSG:0:82	000A2D		01ae033282bc821f118c9d950aab921f881b119b00	It is\nhard,but{D}\nfun to\nraise{D}\nkids.	아이 키우기는 힘들어요\n그래도 즐거워요
MSG:0:83	000A42		8f9d84027715bc1f18ac0af8edf45ded89030fbc1f8400	Everyone\nis safe.{D}\nThe\ndungeon{D}\nstayed.	모두 무사했지만\n던전은 남았네
MSG:0:84	000A59		f8edf45ded9e109815960a1402879e01ed189699989da800	My store\nstays open{D}\nusing the\ndungeon.	던전이 있으니까\n가게를 계속할 수 있어
MSG:0:85	000A71		8f9d84023901b1ab0a9515bc1f9b00	Glad\nevery{D}\none\nis OK.	모두 무사해서\n다행이에요
MSG:0:86	000A80		f8edf45ded9e841784968417820a9515bc1f88152c9b9815bc1f88150d0a9b1f1b85892c9b159684119b00	I am not\nsure if it{D}\nis good or\nbad that the{D}\ndungeon\nstayed.	던전이 사라지지 않은 게\n잘된 건지,잘못된 건지{D}\n저는 모르겠어요
MSG:0:87	000AAB		f8edf45dedbc8284853f00	What is{D}\na dungeon?{D}\nIs it	던전이 뭐야?
MSG:0:88	000AB6		14921b9a11883f0c00	...cool?¶	재밌어?¶
MSG:0:89	000ABF		a4bd105fc7920a8911bc828f9500	I will\ntry to{D}\ngo in\ntoo!	그럼 나도\n들어가 볼래
MSG:0:90	000ACD		849da80a818e9d84118800	Oh!{D}\nIs it\nboring?	뭐야\n시시해
MSG:0:91	000AD8		3d3d3d3d00	...	……
MSG:0:92	000ADD		f8e1a8950a14015f92bc828416bd00	How{D}\nbad! I\nneed{D}\nmoney!	안 돼\n돈이 없으면
MSG:0:93	000AEC		5fc7892c027f02670176880a0404c2c1f50400bc821112881a00	I am <04>Wiz<00>!{D}\nI run the\nstorage.	나는 창고지기\n<04>위즈<00>라고 해
MSG:0:94	000B06		c6df9e0f0f0f0f0f0f0a04040b0400a8873f00	Are you\n<04>{B}<00>?	혹시 네가\n<04>{B}<00>?
MSG:0:95	000B19		1abc16e23bf0e7880a0404c0d3e604009e161f9500	A moogle,<04>Atla<00>,{D}\ncame by.	아까 모그리\n<04>아트라<00>가 왔었어
MSG:0:96	000B2E		1e881280851f171a9d0ac0c1d2e09c01b3bc820a179815960d0a027f02679c018e188311820a1799bc820266bc821f9500	He said\nsince he\nwill be{D}\nbringing\nitems\nsoon,he{D}\nwanted\nto rent a\nstoreroom.	조만간 아이템을\n잔뜩 가지고\n올 테니까{D}\n창고를 비워 달라고\n하더라고
MSG:0:97	000B5F		921b151b820af8edf45dedab920a015c81181f8815843f00	Maybe\nit is\nitems{D}\nfound in\ndungeons?	혹시\n던전이라도\n찾은 걸까?
MSG:0:98	000B77		14015f9e1f8ebc1f960a8e1f1411ab9500	You need\nmoney!	돈이 모이면\n또 와
MSG:0:99	000B88		1e121e122c5fc7890a027f0267017684881a0d0aac12a8112c027f02679c0a1597828f841115113f00	Right. I\nmanage{D}\nthe store-house.{D}\nNeed some\nstorage?	그래그래,나는\n창고지기야{D}\n어때,창고를\n빌려 보지 않을래?
MSG:0:100	000BB1		318188027f0267852c3130c90ac0c1d2e09e021098881a00	One\nstoreroom{D}\nholds 10\nitems.	창고 1개에 아이템이\n10개 들어가
MSG:0:101	000BC9		ac12a8112c027f026731810a0700efe81a0a15979815113f0c00	Rent one?\n{7:00}	어때,창고 1개\n{7:00}길이야\n빌릴래?¶
MSG:0:102	000BE3		021e02408584bc1f960a168217991f9611111a00	I will\nbe here{D}\nif you\nneed me.	필요해지면\n오면 돼
MSG:0:103	000BF7		8e11ac10973c00	Thanks!	매번 고마워~
MSG:0:104	000BFE		02f918980a02729701c41c0a93919800	Give\nTake\nEnd	맡긴다\n꺼낸다\n그만둔다
MSG:0:105	000C0E		0fc2c1f588027f02670f0c00	Storage¶	 위즈의 창고 ¶
MSG:0:106	000C1A		9212dbc7ea9e11bcb211a89500	Your bag is\nalready full.	이제 주머니가 가득 찼어
MSG:0:107	000C27		108e9790971b8411ab0a94bc17979399ad11111a00	Working\ntoo hard{D}\nis bad.\nRelax\nsome!	너무 무리하지 말고\n천천히 하면 돼
MSG:0:108	000C3C		fce8018f9e198801ef8802b51b1101c00149850a84bc1f881a00	<04>Chip<00> is new\nto living in{D}\nthe village.	도르가 이 마을의\n새 주민이 됐어
MSG:0:109	000C56		159b111101c001499e8b13820a12991b11159f971a00	Glad to\nsee more{D}\ncute new\nresidents!	귀여운 주민이 늘어서\n기쁘기 그지없어
MSG:0:110	000C6C		1e99851b82920404c5dfe67b7b0400890aa811a4bf12af848815b700	I really\nhope that{D}\n<04>Camillas Dad<00>\nis OK.	그나저나 <04>카미라 아빠<00>는\n괜찮은 걸까
MSG:0:111	000C88		0404c5dfe67b7b04009e0a027715bc1f8301afbc1f88850d0a199dac892c0404c0d3e604001500	Just after\n<04>Camillas{D}\nDad<00> was\nsaved,now{D}\n<04>Atla<00>...	<04>카미라 아빠<00>가\n살았다 싶었더니{D}\n이번엔 <04>아트라<00>인가
MSG:0:112	000CAF		102c1e9989029101d013a8870a029101d013932c140336881983890a0404c5dfe604009e179b1b11881a00	Ah,your\nPlant.\n<04>Camilla<00>{D}\nknows\nabout\nplant pots{D}\nand flowers.	아,그건 화분이구나\n화분이나 꽃에 대해선\n<04>카미라<00>가 잘 알아
MSG:0:113	000CDA		0404dfe804001a9d892c0404fce80400018f830a11bc1bbf8517961c9da8bc821a00	<04>Mill<00> is\nliving with{D}\n<04>Chip<00>!	<04>미르<00> 씨는 <04>도르<00> 군과\n함께 산대
MSG:0:114	000CFC		0404fce80400018f922c12991b1e12a89500	<04>Chip<00> seems{D}\nhappy!	<04>도르<00> 군도 기뻐 보여
MSG:0:115	000D0E		0404fce80400018f832c0404dfe804001a9d850a01ae03419e01de8e991f881a0d0a1e9992360297921a00	<04>Mill<00> and\n<04>Chip<00> had{D}\nbabies!{D}\n6 of\nthem!	<04>도르<00> 군과 <04>미르<00> 씨에게\n아이가 태어났어{D}\n그것도 6마리나
MSG:0:116	000D39		1e99851b82920404c0d3e60400890aa811a4bf12af848815b700	I hope\n<04>Atla<00>{D}\nis all\nright.	그나저나 <04>아트라<00>는\n괜찮은 걸까
MSG:0:117	000D53		123c9d0a8e1ff8edf45ded9eab1f9500	Now,\nanother{D}\ndungeon is\nmade.	으음~\n또 던전이 나타났어
MSG:0:118	000D63		ac129396027297034a8e991f88890a029088c5c5cb961b11881a00	This time\na farm{D}\nscarecrow\nwas taken.	아무래도 사로잡힌 건\n밭의 허수아비인가 봐
MSG:0:119	000D7E		318188027b15969b16ab1f0a02fa036aa4bd8411159200	Not just\nthe{D}\ndesire of\none heart.	마음 하나에서 솟아난\n욕망이 아닐지도 몰라
MSG:0:120	000D95		1f171a9d8801c91a8402fa036a9e0a02758ebc82989512840ac1e13bf484881a00	Rather\nit seems\nmany{D}\nsmall\ndesires\ntogether.	수많은 작은 욕망이\n모여 있는 듯한\n느낌이야
MSG:0:121	000DB6		849d8384179b15bc1f881a0d0a1088f8edf45ded890ac5c5cb9c02e91b8202889bbc1f0d0a01ef888f9d8488027b84881a00	Somehow I\nsee. The{D}\nscarecrow\nis a vessel{D}\nfor the\ndungeon to{D}\ntransmit\nour desires.	어쩐지 알 것 같아{D}\n저 던전은\n허수아비를 통해 전해진{D}\n마을 모두의 마음이야
MSG:0:122	000DE8		1e122cf8edf45ded9e0a10bc1f8d129e01ef9e0a01f6161784981b0d0a02e40165920280139815968700	While\na dungeon\nexists,{D}\nthe\ntown grows{D}\nand more\nfriends\narrive.	그래,던전이\n있는 편이 마을이\n커지고{D}\n동료도 늘어나니까
MSG:0:123	000E12		123c9d0a849da8152c02d3014802d8850aa88e1a998211989512843d3d00	It seems\nthe Tyrian\nCrystal is{D}\ndeceiving\nthem.	으음~\n어쩐지 자수정에\n속고 있는 것 같은데…
MSG:0:124	000E30		1196bc1bbd1100	Hello.	어서 오세요
MSG:0:125	000E37		10962c111102a1aa93880ad05dc95fa8198300	Oh,a\nchocobo!{D}\nWhat fine\nfeathers!	어머,깃털이 참 고운\n초코보네요
MSG:0:126	000E4A		dede210a7b7b2cac1985920a1184119b9500	Mom!\nDad is\nmissing!	엄마!\n아빠가 어디에도\n없어
MSG:0:127	000E5C		10963c0aac198c11bc1f880a151b963f00	Oh,wherecould\nhe be?	어머~\n어디 가셨을까?
MSG:0:128	000E6D		029085920a118415bc1f8800	He was\nnot in{D}\nthe\nfield!	밭에도\n없었어
MSG:0:129	000E79		10962c1e121113ad0a10841f7b7b9c015c8e0a1d9dab1b1f3f00	How aboutyou?{D}\nHave you\nseen him?	어머,그러고 보니\n혹시 아이 아빠를\n못 보셨나요?
MSG:0:130	000E93		dffce7880217ebe60a023301ae9c15afbc1f0ad05dc95f8488ab1c9e00	He is a\nchocobo\nwearing{D}\na green\nstraw\nhat.	초록색 밀짚\n모자를 쓴\n초코보인데요
MSG:0:131	000EB0		13210aac19ab015c1f883f00	Oh!\nWhere?	어!\n어디서 봤어?
MSG:0:132	000EBC		10963f0a01c20176ab1c153f0c00	Oh,the\ninn?¶	어머?\n여관이요?¶
MSG:0:133	000ECA		13210a01c2017684883f00	Oh!Theinn?	어!\n여관이라고?
MSG:0:134	000ED5		dede2c8485150a8c9da89b00	Some-\nthing{D}\nis\nfishy,{D}\nMom.	엄마,뭔가\n이상해
MSG:0:135	000EE1		8ea801539b99821184110a01c201768488853d3d00	The inn isnot in{D}\nbusiness\nyet.	아직 영업도 안 하는\n여관인데…
MSG:0:136	000EF6		1e1287ba2c0404c5dfe604000a80bfbc8302a891983f00	Can I\nask a{D}\nfavor,\n<04>Camilla<00>?	그래,<04>카미라<00>\n부탁 좀 해도 될까?
MSG:0:137	000F0D		0404db2627c704001a9d850a1402ac1b821411820a1799983f00	Can you\ntalk to\n<04>Fawkes<00>?	<04>포크<00> 씨께\n이야기 좀\n전해 줄래?
MSG:0:138	000F27		9b15bc1f9b210a019ebc8217989b8700	Got it!\n{D}I will\nbe back!	알았어!\n다녀올게
MSG:0:139	000F37		10960aa2919d841a11870d0a1dbc15170241820a111fa8111f888500	Oh,\nsorry.{D}\nAfter\nyou{D}\ncame all\nthis way.	어머\n미안해요{D}\n모처럼 와\n주셨는데
MSG:0:140	000F53		7b7bbc1f960aac121b1f88151b9600	My,where\nis my{D}\nhusband?	아이 아빠도 참\n어떻게 된 걸까
MSG:0:141	000F62		10960aa2919d841a11870d0a14028788012302ad0a1b8284118800	Oh,sorry.Nothing{D}\nis for\nsale.	어머\n미안해요{D}\n가게 준비를\n못 했어요
MSG:0:142	000F7D		7b7b9e118411830a02159892889e84118800	Papa is\ngone and{D}\nwe have\nnothing{D}\nto sell\neither.	남편이 없으면\n팔 물건이 없어요
MSG:0:143	000F8F		10962c10841f0a84859c92bc8298883f00	Oh,what\nis this?	어머,당신\n뭘 가지고 있어요?
MSG:0:144	000FA0		10962c199911119b9500	How nice.	어머,이거 좋네요
MSG:0:145	000FAA		ac19159601b3bc82161f88150a014096841118ac0a9b1f1b850215bc8217998e1d9d3f00	Not sure\nwhere\nyou bought{D}\nit from,but\nwill you{D}\nsell it?	어디서 가져왔는지\n모르겠지만\n저한테 팔지 않을래요?
MSG:0:146	000FCE		7b7b9e11841115960a02159702299e8417820a198ebc821f8800	We have\nno wares\nwith my{D}\nhusband\ngone.	남편이 없어서\n팔 물건이 없어\n곤란했거든요
MSG:0:147	000FE8		92bc832c119a119a8492889c0a01b3bc82168201781a118700	Please\nbring even{D}\nmore items\nfor us.	앞으로도 여러 가지\n가져와 주세요
MSG:0:148	001001		7b7b89ac198c0a11bc1f88151b963f00	Oh,where\ncould he{D}\nhave\ngone?	아이 아빠는 어디\n간 걸까?
MSG:0:149	001011		8ebc1f177b7bbc1f960aac198c11bc1f88151b960d0a92122c14028785a81c92889e0a841784bc1f888500	Geez,Dad.{D}\nWhere in\nthe world{D}\ndid you\ngo to?{D}\nWe have no\ninventory...	정말 이이도 참\n어디 간 걸까{D}\n이제 가게에 낼 물건도\n다 떨어졌는데
MSG:0:150	00103C		10841f9e2c119a119a8492889c0a92bc82168217999815960a14028792128e1711bc8211989b00	Because you\nhave brought\nmany things{D}\nback,the\nshop is\ndoing well.	당신이 이것저것\n가져다준 덕분에\n가게도 잘되고 있어요
MSG:0:151	001063		0404db2627c704001a9d15960a0324168e1b1f00	<04>Fawkes<00>\ntold me.	<04>포크<00> 씨한테\n들었어요
MSG:0:152	001077		10841f9e01b3bc8217980ac0c1d2e0890d0af8edf45ded159601b3bc820a025abc82161f9288ab0d0a1e88f8edf45ded9c0154bc1f889e0a7b7ba8bc8200	The items you\nbrought were{D}\nfrom the\ndungeon my{D}\nhusband built.	당신이 가져오는\n아이템은{D}\n던전에서 가지고\n돌아온 거고{D}\n그 던전을 만든 게\n남편이라고요
MSG:0:153	0010B5		14033a11ab1c0a9b1f1b1f80887b7b9c0d0a7b7b9c0277188201781a1100	Please,my\nhusband!{D}\n...Please\nsave him!	부탁이에요\n우리 남편을{D}\n남편을 구해 주세요
MSG:0:154	0010D3		3d3d3d3d0a7b7b9c0277188210a1822100	...Save my\nPapa!	……\n아빠를 구해 줘!
